transaction_id,customer_id,transaction_date,amount,transaction_type,status,payment_method
1,CUST-000001,2026-03-16,102.92,payment,success,Credit card
2,CUST-000001,2026-04-16,102.92,payment,success,Credit card
3,CUST-000001,2026-05-16,102.92,payment,success,Credit card
4,CUST-000001,2026-06-16,102.92,payment,success,Credit card
5,CUST-000001,2026-07-16,102.92,payment,success,Credit card
6,CUST-000001,2026-08-16,102.92,payment,success,Credit card
7,CUST-000002,2026-03-16,79.41,payment,success,Bank transfer
8,CUST-000002,2026-04-16,79.41,payment,success,Bank transfer
9,CUST-000002,2026-05-16,79.41,payment,success,Bank transfer
10,CUST-000002,2026-06-16,79.41,payment,success,Bank transfer
11,CUST-000002,2026-07-16,79.41,payment,success,Bank transfer
12,CUST-000002,2026-08-16,79.41,payment,success,Bank transfer
13,CUST-000003,2026-03-16,44.49,payment,success,Electronic check
14,CUST-000003,2026-04-16,44.49,payment,success,Electronic check
15,CUST-000003,2026-05-16,44.49,payment,success,Electronic check
16,CUST-000003,2026-06-16,44.49,payment,success,Electronic check
17,CUST-000003,2026-07-16,44.49,payment,success,Electronic check
18,CUST-000003,2026-08-16,44.49,payment,success,Electronic check
19,CUST-000004,2026-03-16,94.57,payment,success,Electronic check
20,CUST-000004,2026-04-16,94.57,payment,success,Electronic check
21,CUST-000004,2026-05-16,94.57,payment,success,Electronic check
22,CUST-000004,2026-06-16,94.57,payment,success,Electronic check
23,CUST-000004,2026-07-16,94.57,payment,success,Electronic check
24,CUST-000004,2026-08-16,94.57,payment,success,Electronic check
25,CUST-000005,2026-03-16,28.45,payment,success,Electronic check
26,CUST-000005,2026-04-16,28.45,payment,success,Electronic check
27,CUST-000005,2026-05-16,28.45,failed_payment,failed,Electronic check
28,CUST-000005,2026-06-16,28.45,payment,success,Electronic check
29,CUST-000005,2026-07-16,28.45,payment,success,Electronic check
30,CUST-000005,2026-08-16,28.45,failed_payment,failed,Electronic check
31,CUST-000006,2026-03-16,97.44,payment,success,Mailed check
32,CUST-000006,2026-04-16,97.44,payment,success,Mailed check
33,CUST-000006,2026-05-16,97.44,payment,success,Mailed check
34,CUST-000006,2026-06-16,97.44,payment,success,Mailed check
35,CUST-000006,2026-07-16,97.44,payment,success,Mailed check
36,CUST-000006,2026-08-16,97.44,payment,success,Mailed check
37,CUST-000007,2026-03-16,79.0,payment,success,Bank transfer
38,CUST-000007,2026-04-16,79.0,payment,success,Bank transfer
39,CUST-000007,2026-05-16,79.0,payment,success,Bank transfer
40,CUST-000007,2026-06-16,79.0,payment,success,Bank transfer
41,CUST-000007,2026-07-16,79.0,payment,success,Bank transfer
42,CUST-000007,2026-08-16,79.0,payment,success,Bank transfer
43,CUST-000008,2026-03-16,31.08,payment,success,Credit card
44,CUST-000008,2026-04-16,31.08,payment,success,Credit card
45,CUST-000008,2026-05-16,31.08,payment,success,Credit card
46,CUST-000008,2026-06-16,31.08,payment,success,Credit card
47,CUST-000008,2026-07-16,31.08,payment,success,Credit card
48,CUST-000008,2026-08-16,31.08,payment,success,Credit card
49,CUST-000009,2026-03-16,27.95,payment,success,Mailed check
50,CUST-000009,2026-04-16,27.95,failed_payment,failed,Mailed check
51,CUST-000009,2026-04-19,27.95,payment,success,Mailed check
52,CUST-000009,2026-05-16,27.95,failed_payment,failed,Mailed check
53,CUST-000009,2026-05-19,27.95,payment,success,Mailed check
54,CUST-000009,2026-06-16,27.95,failed_payment,failed,Mailed check
55,CUST-000009,2026-06-19,27.95,payment,success,Mailed check
56,CUST-000009,2026-07-16,27.95,payment,success,Mailed check
